id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
771733408348100892,Lush apt on quiet top floor,2536054,Torstein,,Grünerløkka,59.9285,10.76996,Entire home/apt,,7,4,2023-10-22,0.24,2,0,1,
771845508531014246,Cozy and spacious apartment in central Oslo,264758677,Sigrid,,Grünerløkka,59.92189665432294,10.758097098773826,Entire home/apt,,2,10,2024-06-22,0.58,1,3,6,
771938955120237906,Super central luxurious and spacious apartment,77450458,Victoria,,Frogner,59.92706,10.71965,Entire home/apt,1500,3,10,2024-05-23,0.79,1,84,9,
772114395041194700,New-York vibber på vinslottet,410962735,Mari,,Grünerløkka,59.92712985703938,10.795929421258398,Entire home/apt,5000,1,0,,,1,364,0,
772222234290005635,Nyoppusset leilighet i sentrum,224452998,Line,,Gamle Oslo,59.91214998957383,10.770217195631412,Entire home/apt,1253,2,27,2024-06-15,1.42,1,16,12,
772450191301957861,Spacious room on the 1st floor,405130190,Ana And Dom,,St. Hanshaugen,59.92381,10.73776,Private room,880,2,13,2024-06-06,0.70,10,2,8,
772459422670497234,Cozy apartment - walkingdistance to every need,246534206,Hans Magnus,,Gamle Oslo,59.91005,10.77447,Entire home/apt,900,6,8,2024-06-18,0.53,1,26,4,
772522511227033570,High standard apartment in downtown Oslo-Bjørvika,20646500,Oscar,,Gamle Oslo,59.90599,10.7599,Entire home/apt,5000,2,0,,,1,89,0,
773070256208222397,"Sentral, Moderne og Unik",246219030,Tone,,Sagene,59.93473,10.7599,Entire home/apt,1486,1,15,2024-05-19,0.82,2,225,10,
773303055978383456,Koselig 2 roms i 17. etasje med spektakulær utsikt,146074705,Sigve,,Sagene,59.93019809415936,10.758494873016339,Entire home/apt,1006,3,2,2023-09-01,0.12,1,89,1,
774462640339859686,Koselig leilighet på Enerhaugen,198170982,Lars,,Gamle Oslo,59.91325,10.7697,Entire home/apt,,2,5,2023-10-31,0.27,1,0,3,
774717074816407633,Close to city center w/ free parking,9518104,Inan,,Gamle Oslo,59.90274652073309,10.774774050262446,Entire home/apt,1858,3,11,2024-05-19,0.60,1,79,5,
775067580027917115,"Loftsleilighet - tre soverom, to bad, balkong",27137866,Kjetil,,Grünerløkka,59.92403,10.78951,Entire home/apt,,2,2,2023-07-03,0.14,2,0,1,
775233963718504789,Guest room with amazing view,26912445,Kim,,Gamle Oslo,59.9014209,10.7735879,Private room,,3,4,2024-06-20,0.26,1,2,1,
775278149123526114,Privat rom med eget bad og stue,13376515,Marius,,Ullern,59.93664825762778,10.652703830228718,Private room,650,1,2,2023-06-09,0.12,1,89,0,
775282516063786781,Apartment in HEART of Oslo | 5 min. to Oslo S,358641097,Martin,,Sentrum,59.91085099999999,10.747604,Entire home/apt,995,2,22,2024-06-06,2.37,1,142,22,
775311625857574020,Leilighet med 4 soveplasser,490337427,Marius,,Sagene,59.94783,10.77447,Entire home/apt,1300,3,21,2024-06-21,1.16,1,324,16,
775339002078480971,Romslig leilighet.,185328222,Roger,,Nordstrand,59.8993259,10.803588,Entire home/apt,1843,5,1,2023-08-05,0.09,1,363,1,
775910351833578471,2 etasjes leilighet!,56997707,Ingebjørg,,Grünerløkka,59.932640975214575,10.794068155102856,Entire home/apt,1717,7,0,,,1,343,0,
775915174766461907,Beautiful space with balcony,53896179,Kenneth,,Gamle Oslo,59.913958,10.766932,Entire home/apt,2819,1,80,2024-05-29,4.23,5,303,25,
775916717713295434,Spaceous modern 1 bedroom apt,7084832,Sara,,Alna,59.92706,10.86413,Entire home/apt,,7,0,,,1,0,0,
776146512028888508,Beautiful city centre apartment with balcony,44667930,Lise,,Frogner,59.92821890923176,10.722147300839424,Entire home/apt,960,1,81,2024-06-18,4.35,1,78,72,
776455077104513440,Cozy Private Studio Apartment with Balcony,17510334,Sigbjørn,,St. Hanshaugen,59.930683,10.732771,Entire home/apt,720,3,79,2024-06-02,4.24,1,113,46,
776522922192972589,4-roms leilighet,82424621,Line,,Vestre Aker,59.95352,10.68209,Entire home/apt,,4,0,,,1,0,0,
776681272260798399,"Moderne, koselig og svært sentral leilighet",382817056,Håvard,,Gamle Oslo,59.9125816,10.7597193,Entire home/apt,1350,2,16,2024-06-18,0.94,1,72,10,
777215391952220468,Moderne eksklusiv 150m² sentralt Frogner nær Solli,25384153,Alexander,,Frogner,59.91691,10.71269,Entire home/apt,3700,1,31,2024-06-03,1.70,3,145,18,
777353460931574031,Sentralt og koselig på øvre Grünerløkka,87888653,Ingelinn,,Grünerløkka,59.92876102943146,10.769957020966473,Entire home/apt,950,2,1,2024-03-26,0.31,1,28,1,
